iter	MultiClass
0	1.047369764
1	1.006619167
2	0.9738996746
3	0.9470506015
4	0.9247340676
5	0.9064091182
6	0.8906493635
7	0.8770823028
8	0.8661867477
9	0.8567515327
10	0.8490180927
11	0.8423863067
12	0.8372862036
13	0.8320452395
14	0.8277216179
15	0.8242039032
16	0.8207380009
17	0.8181752612
18	0.8160820734
19	0.813903127
20	0.8123334179
21	0.8106710671
22	0.8093126444
23	0.8080117656
24	0.806893232
25	0.8058547761
26	0.8045914283
27	0.8035827499
28	0.8028213413
29	0.8021930411
30	0.801721363
31	0.8012893847
32	0.8004893858
33	0.7996411817
34	0.7991372557
35	0.7985081773
36	0.7979095451
37	0.7970751653
38	0.7965726196
39	0.7960081329
40	0.7955055277
41	0.7951386772
42	0.7943815567
43	0.7937846767
44	0.7930337234
45	0.7925478482
46	0.7920567279
47	0.7915577786
48	0.7912966769
49	0.7908295559
50	0.790452262
51	0.7901885234
52	0.7896381553
53	0.7893537259
54	0.7889578543
55	0.7885650276
56	0.7880270355
57	0.7874173924
58	0.7872244148
59	0.7868955422
60	0.786207744
61	0.7854794517
62	0.785239164
63	0.7846436222
64	0.7843641455
65	0.7839688359
66	0.7837551879
67	0.7831129402
68	0.7828161184
69	0.782338167
70	0.7820973322
71	0.7815698802
72	0.7808968217
73	0.7806634084
74	0.7804947324
75	0.7801683737
76	0.7799554669
77	0.7796928133
78	0.7794316475
79	0.7791911919
80	0.778838559
81	0.778351473
82	0.77792563
83	0.7771523199
84	0.7767448157
85	0.7765835546
86	0.7761339709
87	0.7757456435
88	0.7752622189
89	0.774927037
90	0.7746639239
91	0.7742153554
92	0.7739459347
93	0.7734112389
94	0.7731000147
95	0.7726971148
96	0.7720962244
97	0.7718070706
98	0.7715784697
99	0.7710490904
100	0.7709063083
101	0.7704801006
102	0.7703502442
103	0.7700107431
104	0.7692632137
105	0.7691148628
106	0.7686192417
107	0.7683637345
108	0.7679025878
109	0.7674860916
110	0.7671569896
111	0.766966933
112	0.7665972863
113	0.7662709537
114	0.7659570952
115	0.7656552769
116	0.7653967992
117	0.7650366936
118	0.7646764687
119	0.7641596571
120	0.7637729586
121	0.7631694297
122	0.7626609846
123	0.7621741074
124	0.7616323859
125	0.761366283
126	0.7609625091
127	0.7606234605
128	0.7603380361
129	0.759985434
130	0.7598334091
131	0.7593519637
132	0.7589677535
133	0.7588547712
134	0.7586347733
135	0.75830485
136	0.7581055396
137	0.757872036
138	0.7573227454
139	0.7566857926
140	0.7563405696
141	0.7559144209
142	0.7557025858
143	0.7552425139
144	0.7547718812
145	0.7542723297
146	0.7541470028
147	0.7538794307
148	0.7535393568
149	0.7531991445
150	0.752835089
151	0.7523706299
152	0.7521007035
153	0.7517270094
154	0.7511918812
155	0.7509825105
156	0.7506886112
157	0.7504002581
158	0.7501848964
159	0.7496693252
160	0.7493801609
161	0.7489587357
162	0.7486002874
163	0.7482854448
164	0.747846068
165	0.7474015701
166	0.746987616
167	0.7466552771
168	0.7462140496
169	0.7460889364
170	0.7457278754
171	0.7453178935
172	0.7451699545
173	0.7449667457
174	0.7444775294
175	0.7442666062
176	0.7439671551
177	0.7437630289
178	0.7432802179
179	0.7427868032
180	0.7425531327
181	0.7421375863
182	0.7417021437
183	0.7413642951
184	0.7408549717
185	0.7405089774
186	0.7400727916
187	0.739864495
188	0.7397153279
189	0.7394474128
190	0.7390895777
191	0.7384926269
192	0.7381283528
193	0.7377925623
194	0.7374510268
195	0.7371117692
196	0.7367504378
197	0.7364467768
198	0.7361751018
199	0.7360312631
200	0.7358253376
201	0.7355571192
202	0.7352147115
203	0.7349099164
204	0.7345485548
205	0.7343808047
206	0.7339872161
207	0.7336307105
208	0.7333009734
209	0.7329309173
210	0.7327431615
211	0.7322787089
212	0.7320259874
213	0.7316465979
214	0.7314018007
215	0.731108135
216	0.7308052705
217	0.7303507628
218	0.730073009
219	0.7299390796
220	0.729677688
221	0.7293704948
222	0.7290050636
223	0.7288215419
224	0.7284671653
225	0.7281275582
226	0.7278498874
227	0.727233882
228	0.726938877
229	0.7267144841
230	0.7262897178
231	0.7259353195
232	0.7255961346
233	0.7254420201
234	0.7251489739
235	0.7248207814
236	0.7245698326
237	0.7240975002
238	0.7238658884
239	0.7236875957
240	0.723439867
241	0.7231288612
242	0.7227768882
243	0.722442881
244	0.7219668994
245	0.7217740437
246	0.7214325128
247	0.7211221507
248	0.7209014846
249	0.7204684251
250	0.7202711238
251	0.7199140947
252	0.7196533683
253	0.7192680507
254	0.7187575697
255	0.7182618523
256	0.7179992492
257	0.7175088958
258	0.7173755063
259	0.7167311056
260	0.7164993811
261	0.7161438984
262	0.7157546478
263	0.7153850335
264	0.7151301182
265	0.7147866832
266	0.7145017342
267	0.7142792842
268	0.7141383809
269	0.7138192862
270	0.7133686683
271	0.713190188
272	0.7128845875
273	0.7125816367
274	0.7123344055
275	0.7117187395
276	0.7113525525
277	0.7110395543
278	0.7107691244
279	0.7104236075
280	0.7099487169
281	0.7096040364
282	0.7093403635
283	0.7090201886
284	0.7087550084
285	0.7085266824
286	0.7082477163
287	0.708053024
288	0.7076459734
289	0.7072288394
290	0.7068698287
291	0.706643577
292	0.7063723199
293	0.7061862761
294	0.7059495116
295	0.7057126257
296	0.7053647194
297	0.705219696
298	0.7048348611
299	0.7044469515
300	0.7042688168
301	0.704121945
302	0.7039115234
303	0.7037432404
304	0.7034463304
305	0.7032800526
306	0.7028671071
307	0.7025613756
308	0.7021806123
309	0.7017960076
310	0.7014953285
311	0.7012102353
312	0.7010431607
313	0.7007503597
314	0.700646347
315	0.7003603141
316	0.7001324997
317	0.6999414319
318	0.6996921204
319	0.699384216
320	0.6991625029
321	0.6988992623
322	0.6986036229
323	0.698232874
324	0.6980632018
325	0.6979174532
326	0.6976291788
327	0.6971484892
328	0.696834489
329	0.6965680076
330	0.6962154187
331	0.6959488256
332	0.6956078405
333	0.6954430779
334	0.6951804704
335	0.6949499786
336	0.6946439542
337	0.694454242
338	0.6942338091
339	0.6938808066
340	0.6936785162
341	0.6934127647
342	0.6930536529
343	0.6927208524
344	0.6924921166
345	0.6922356352
346	0.6921796431
347	0.6919803687
348	0.6917380034
349	0.6915249431
350	0.6910282856
351	0.6909398268
352	0.690553999
353	0.6902776242
354	0.6899610765
355	0.6897142978
356	0.6894693096
357	0.6891778497
358	0.689047838
359	0.6887580588
360	0.6881697664
361	0.6878059039
362	0.6876215529
363	0.6873424525
364	0.6871505731
365	0.6869547813
366	0.6867363787
367	0.6864869428
368	0.6863484257
369	0.6862206277
370	0.6860933777
371	0.685839582
372	0.6855123092
373	0.6851796968
374	0.6849525829
375	0.6848928054
376	0.6846623625
377	0.6843760642
378	0.6842282092
379	0.6840238664
380	0.6837706593
381	0.6835933921
382	0.6834170573
383	0.6831137333
384	0.6827440923
385	0.6825818514
386	0.682326195
387	0.6820521438
388	0.6818139636
389	0.6815407341
390	0.6813610151
391	0.6811119483
392	0.6808730792
393	0.6804778269
394	0.6801313844
395	0.6797788662
396	0.6795687784
397	0.6790319131
398	0.6787431446
399	0.6785273172
400	0.6783000387
401	0.678202818
402	0.6779968019
403	0.6777211871
404	0.677412226
405	0.6772543463
406	0.6770753977
407	0.6769501083
408	0.6766514935
409	0.6761017882
410	0.6758047517
411	0.6755728696
412	0.6753558785
413	0.6751938869
414	0.6750441925
415	0.6747757059
416	0.6744558325
417	0.6741356559
418	0.6739340218
419	0.6736484964
