iter	Passed	Remaining
0	57	57545
1	65	32888
2	73	24514
3	81	20383
4	90	18068
5	99	16423
6	110	15615
7	126	15654
8	134	14803
9	142	14107
10	150	13511
11	158	13050
12	163	12433
13	172	12151
14	180	11842
15	188	11614
16	204	11796
17	214	11701
18	222	11475
19	230	11288
20	238	11141
21	247	10997
22	255	10852
23	264	10737
24	272	10642
25	281	10532
26	289	10449
27	298	10365
28	306	10276
29	315	10197
30	323	10099
31	331	10031
32	340	9963
33	348	9892
34	356	9835
35	364	9767
36	373	9713
37	381	9658
38	389	9603
39	397	9540
40	405	9480
41	413	9441
42	426	9490
43	435	9465
44	444	9428
45	452	9385
46	460	9342
47	469	9311
48	477	9267
49	485	9220
50	493	9175
51	501	9135
52	510	9114
53	517	9073
54	526	9046
55	534	9014
56	543	8987
57	551	8953
58	558	8909
59	566	8878
60	575	8857
61	585	8863
62	594	8841
63	602	8816
64	610	8787
65	619	8760
66	627	8735
67	635	8711
68	644	8690
69	652	8668
70	660	8643
71	668	8621
72	677	8607
73	685	8581
74	693	8553
75	701	8527
76	708	8496
77	716	8474
78	725	8453
79	733	8433
80	741	8413
81	750	8399
82	758	8383
83	767	8370
84	775	8351
85	784	8335
86	793	8324
87	802	8313
88	811	8303
89	819	8287
90	828	8271
91	836	8256
92	844	8239
93	853	8229
94	861	8211
95	870	8197
96	880	8197
97	889	8191
98	898	8176
99	907	8167
100	915	8151
101	924	8134
102	936	8151
103	945	8143
104	953	8130
105	962	8119
106	971	8109
107	980	8096
108	989	8087
109	998	8075
110	1006	8061
111	1015	8050
112	1023	8035
113	1032	8021
114	1040	8008
115	1048	7992
116	1057	7977
117	1065	7965
118	1073	7947
119	1086	7965
120	1097	7974
121	1106	7962
122	1114	7948
123	1123	7939
124	1132	7928
125	1140	7912
126	1149	7900
127	1157	7886
128	1165	7871
129	1176	7876
130	1187	7874
131	1196	7867
132	1204	7854
133	1213	7842
134	1222	7830
135	1230	7818
136	1238	7802
137	1247	7789
138	1255	7778
139	1264	7768
140	1273	7757
141	1282	7747
142	1290	7736
143	1299	7726
144	1308	7715
145	1316	7702
146	1325	7690
147	1333	7678
148	1342	7667
149	1351	7657
150	1360	7649
151	1369	7641
152	1378	7630
153	1386	7619
154	1395	7608
155	1404	7596
156	1412	7583
157	1420	7571
158	1428	7558
159	1438	7550
160	1447	7540
161	1455	7527
162	1463	7516
163	1472	7504
164	1480	7491
165	1489	7481
166	1497	7469
167	1506	7458
168	1514	7445
169	1521	7430
170	1530	7419
171	1539	7409
172	1547	7398
173	1555	7383
174	1563	7372
175	1572	7361
176	1580	7350
177	1588	7336
178	1597	7327
179	1606	7316
180	1614	7303
181	1622	7290
182	1630	7281
183	1639	7270
184	1647	7259
185	1656	7249
186	1664	7236
187	1673	7226
188	1682	7219
189	1690	7207
190	1699	7197
191	1707	7186
192	1716	7177
193	1724	7165
194	1733	7157
195	1742	7145
196	1750	7137
197	1758	7124
198	1766	7112
199	1775	7103
200	1783	7091
201	1793	7086
202	1802	7077
203	1811	7067
204	1819	7055
205	1827	7043
206	1835	7031
207	1844	7022
208	1852	7012
209	1862	7005
210	1870	6995
211	1879	6985
212	1888	6976
213	1896	6965
214	1905	6955
215	1913	6944
216	1921	6932
217	1929	6922
218	1937	6911
219	1946	6900
220	1954	6889
221	1962	6877
222	1970	6866
223	1978	6853
224	1986	6843
225	1995	6834
226	2003	6823
227	2012	6814
228	2020	6803
229	2028	6792
230	2039	6790
231	2048	6780
232	2060	6781
233	2071	6779
234	2079	6768
235	2087	6758
236	2095	6747
237	2104	6738
238	2112	6726
239	2121	6716
240	2131	6711
241	2139	6702
242	2148	6692
243	2156	6682
244	2165	6674
245	2174	6664
246	2183	6655
247	2191	6645
248	2199	6634
249	2208	6624
250	2216	6612
251	2224	6603
252	2232	6592
253	2241	6582
254	2250	6573
255	2258	6563
256	2266	6552
257	2274	6542
258	2283	6532
259	2291	6522
260	2299	6511
261	2308	6501
262	2316	6491
263	2325	6484
264	2334	6474
265	2343	6465
266	2352	6457
267	2360	6447
268	2368	6436
269	2377	6426
270	2385	6416
271	2393	6406
272	2402	6397
273	2411	6388
274	2419	6379
275	2428	6370
276	2437	6361
277	2445	6351
278	2453	6341
279	2462	6331
280	2471	6322
281	2479	6313
282	2487	6303
283	2496	6293
284	2504	6284
285	2513	6274
286	2521	6265
287	2530	6256
288	2539	6247
289	2547	6238
290	2556	6228
291	2564	6218
292	2573	6208
